Celsius,Fahrenheit
0,32
5,41
10,50
15,59
20,68
25,77
30,86
35,95
40,104
45,113
50,122
55,131
60,140
65,149
70,158
75,167
80,176
85,185
90,194
95,203
100,212
105,221
110,230
115,239
120,248
125,257
130,266
135,275
140,284
145,293
150,302
155,311
160,320
165,329
170,338
175,347
180,356
185,365
190,374
195,383
200,392
205,401
210,410
215,419
220,428
225,437
230,446
235,455
240,464
245,473
250,482
255,491
260,500
265,509
270,518
265,509
270,518
275,527
280,536
285,545
290,554
295,563
300,572
305,581
310,590
315,599
320,608
325,617
330,626
335,635
340,644
345,653
350,662
355,671
360,680
365,689
370,698
375,707
380,716
385,725
390,734
395,743
400,752
405,761
410,770
415,779
420,788
425,797
430,806
435,815
440,824
445,833
450,842
455,851
460,860
465,869
470,878
475,887
480,896
485,905
490,914
495,923
500,932
505,941
510,950
515,959
520,968
525,977
530,986
535,995
540,1004
545,1013
550,1022
555,1031
560,1040
565,1049
570,1058
575,1067
580,1076
585,1085
590,1094
595,1103
600,1112
605,1121
610,1130
615,1139
620,1148
625,1157
630,1166
635,1175
640,1184
645,1193
650,1202
655,1211
660,1220
665,1229
670,1238
675,1247
680,1256
685,1265
690,1274
695,1283
700,1292
705,1301
710,1310
715,1319
720,1328
725,1337
730,1346
735,1355
740,1364
745,1373
750,1382
755,1391
760,1400
765,1409
770,1418
775,1427
780,1436
785,1445
790,1454
795,1463
800,1472
805,1481
810,1490
815,1499
820,1508
825,1517
830,1526
835,1535
840,1544
845,1553
850,1562
855,1571
860,1580
865,1589
870,1598
875,1607
880,1616
885,1625
890,1634
895,1643
900,1652
905,1661
910,1670
915,1679
920,1688
925,1697
930,1706
935,1715
940,1724
945,1733
950,1742
955,1751
960,1760
965,1769
970,1778
975,1787
980,1796
985,1805
990,1814
995,1823
1000,1832
1005,1841
1010,1850
1015,1859
1020,1868
1025,1877
1030,1886
1035,1895
1040,1904
1045,1913
1050,1922
1055,1931
1060,1940
1065,1949
1070,1958
1075,1967
1080,1976
1085,1985
1090,1994
1095,2003
1100,2012
1105,2021
1110,2030
1115,2039
1120,2048
1125,2057
1130,2066
1135,2075
1140,2084
1145,2093
1150,2102
1155,2111
1160,2120
1165,2129
1170,2138
1175,2147
1180,2156
1185,2165
1190,2174
1195,2183
1200,2192
1205,2201
1210,2210
1215,2219
1220,2228
1225,2237
1230,2246
1235,2255
1240,2264
1245,2273
1250,2282
1255,2291
1260,2300
1265,2309
1270,2318
1275,2327
1280,2336
1285,2345
1290,2354
1295,2363
1300,2372
1305,2381
1310,2390
1315,2399
1320,2408
1325,2417
1330,2426
1335,2435
1340,2444
1345,2453
1350,2462
1355,2471
1360,2480
1365,2489
1370,2498
1375,2507
1380,2516
1385,2525
1390,2534
1395,2543
1400,2552
1405,2561
1410,2570
1415,2579
1420,2588
1425,2597
1430,2606
1435,2615
1440,2624
1445,2633
1450,2642
1455,2651
1460,2660
1465,2669
1470,2678
1475,2687
1480,2696
1485,2705
1490,2714
1495,2723
1500,2732
1505,2741
1510,2750
1515,2759
1520,2768
1525,2777
1530,2786
1535,2795
1540,2804
1545,2813
1550,2822
1555,2831
1560,2840
1565,2849
1570,2858
1575,2867
1580,2876
1585,2885
1590,2894
1595,2903
1600,2912
1605,2921
1610,2930
1615,2939
1620,2948
1625,2957
1630,2966
1635,2975
1640,2984
1645,2993
1650,3002
1655,3011
1660,3020
1665,3029
1670,3038
1675,3047
1680,3056
1685,3065
1690,3074
1695,3083
1700,3092
1705,3101
1710,3110
1715,3119
1720,3128
1725,3137
1730,3146
1735,3155
1740,3164
1745,3173
1750,3182
1755,3191
1760,3200
1765,3209
1770,3218
1775,3227
1780,3236
1785,3245
1790,3254
1795,3263
1800,3272
1805,3281
1810,3290
1815,3299
1820,3308
1825,3317
1830,3326
1835,3335
1840,3344
1845,3353
1850,3362
1855,3371
1860,3380
1865,3389
1870,3398
1875,3407
1880,3416
1885,3425
1890,3434
1895,3443
1900,3452
1905,3461
1910,3470
1915,3479
1920,3488
1925,3497
1930,3506
1935,3515
1940,3524
1945,3533
1950,3542
1955,3551
1960,3560
1965,3569
1970,3578
1975,3587
1980,3596
1985,3605
1990,3614
1995,3623
2000,3632
2005,3641
2010,3650
2015,3659
2020,3668
2025,3677
2030,3686
2035,3695
2040,3704
2045,3713
2050,3722
2055,3731
2060,3740
2065,3749
2070,3758
2075,3767
2080,3776
2085,3785
2090,3794
2095,3803
2100,3812
2105,3821
2110,3830
2115,3839
2120,3848
2125,3857
2130,3866
2135,3875
2140,3884
2145,3893
2150,3902
2155,3911
2160,3920
2165,3929
2170,3938
2175,3947
2180,3956
2185,3965
2190,3974
2195,3983
2200,3992
2205,4001
2210,4010
2215,4019
2220,4028
2225,4037
2230,4046
2235,4055
2240,4064
2245,4073
2250,4082
2255,4091
2260,4100
2265,4109
2270,4118
2275,4127
2280,4136
2285,4145
2290,4154
2295,4163
2300,4172
2305,4181
2310,4190
2315,4199
2320,4208
2325,4217
2330,4226
2335,4235
2340,4244
2345,4253
2350,4262
2355,4271
2360,4280
2365,4289
2370,4298
2375,4307
2380,4316
2385,4325
2390,4334
2395,4343
2400,4352
2405,4361
2410,4370
2415,4379
2420,4388
2425,4397
2430,4406
2435,4415
2440,4424
2445,4433
2450,4442
2455,4451
2460,4460
2465,4469
2470,4478
2475,4487
2480,4496
2485,4505
2490,4514
2495,4523
2500,4532
2505,4541
2510,4550
2515,4559
2520,4568
2525,4577
2530,4586
2535,4595
2540,4604
2545,4613
2550,4622
2555,4631
2560,4640
2565,4649
2570,4658
2575,4667
2580,4676
2585,4685
2590,4694
2595,4703
2600,4712
2605,4721
2610,4730
2615,4739
2620,4748
2625,4757
2630,4766
2635,4775